Unnamed: 0,month_year,avg_cpu_time
364, 2020-01 ,88730552056715.64
1736, 2020-02 ,43390347047178.86
3201, 2020-03 ,43207137975900.6
4676, 2020-04 ,97547529036694.14
6158, 2020-05 ,37224142290008.47
7555, 2020-06 ,52727644888912.81
8988, 2020-07 ,140681647852099.48
10470, 2020-08 ,81004596180163.39
11782, 2020-09 ,21207410101853.77
12880, 2020-10 ,178583977860862.1
14268, 2020-11 ,43568933349535.73
15577, 2020-12 ,39448818141062.94
16833, 2021-01 ,59736902129590.3
18021, 2021-02 ,151562481361277.8
19366, 2021-03 ,220479876391905.2
20825, 2021-04 ,68606168289517.62
22249, 2021-05 ,19731098437823.168
