Unnamed: 0,month_year,total_cpu_time
70, 2020-01 ,    6711814737369859612.00000000000000
1386, 2020-02 ,    3534371932309507001.00000000000000
2817, 2020-03 ,    5602310593085096723.00000000000000
4256, 2020-04 ,   60820585415424895498.00000000000000
5779, 2020-05 ,    6122022239846156824.00000000000000
7218, 2020-06 ,    5590726133613235771.00000000000000
8703, 2020-07 ,    5609816243537914070.00000000000000
10143, 2020-08 ,    7160270141315441447.00000000000000
11391, 2020-09 ,    4326657547512417731.00000000000000
12583, 2020-10 ,   37839819737898817193.00000000000000
13905, 2020-11 ,   17769063740275856027.00000000000000
15234, 2020-12 ,    4674779232674532673.00000000000000
16454, 2021-01 ,   11821116300697718837.00000000000000
17726, 2021-02 ,    8097631454644092662.00000000000000
19093, 2021-03 ,    7404440652743772842.00000000000000
20440, 2021-04 ,   31901302361020697391.00000000000000
21834, 2021-05 ,    4923284953567136667.00000000000000
