Unnamed: 0,month_year,totalmemory
6, 2020-01 ,1213196615984.0
1291, 2020-02 ,1271984713696.0
2733, 2020-03 ,1313900882684.0
4255, 2020-04 ,1099311063120.0
5731, 2020-05 ,998079525072.0
7195, 2020-06 ,643769202384.0
8683, 2020-07 ,797198226048.0
10146, 2020-08 ,942958072392.0
11400, 2020-09 ,958761443592.0
12629, 2020-10 ,1010403148024.0
13949, 2020-11 ,1090896993560.0
15264, 2020-12 ,1261351205256.0
16519, 2021-01 ,982231376604.0
17793, 2021-02 ,661767073044.0
19136, 2021-03 ,1075736924668.0
20535, 2021-04 ,1065492794904.0
21899, 2021-05 ,875978024964.0
