month_year,avg_cpu_time
 2020-01 ,1848798345269712.0
 2020-02 ,71241112469465.7
 2020-03 ,524917342577976.5
 2020-04 ,35861881662680.9
 2020-05 ,86122721105272.52
 2020-06 ,46675337471550.92
 2020-07 ,62094064240117.6
 2020-08 ,36762583376191.08
 2020-09 ,126962020718938.88
 2020-10 ,156735326162526.6
 2020-11 ,141682502177353.25
 2020-12 ,16093813251332.412
 2021-01 ,200612702665683.47
 2021-02 ,48490884314607.52
 2021-03 ,34221696587019.957
 2021-04 ,172013830666960.8
 2021-05 ,60506533574811.44
