month_year,avg_memory
 2020-01 ,115463581.18443316
 2020-02 ,99130762.298009
 2020-03 ,97767415.51115672
 2020-04 ,82936542.85808854
 2020-05 ,97756060.32387792
 2020-06 ,104667891.15845974
 2020-07 ,102402845.5417847
 2020-08 ,103074498.91397966
 2020-09 ,117544757.50102644
 2020-10 ,91769429.82148065
 2020-11 ,83517308.56758013
 2020-12 ,83758951.74054055
 2021-01 ,87641899.04915205
 2021-02 ,99971140.99169216
 2021-03 ,87823970.22893411
 2021-04 ,87898954.33116713
 2021-05 ,107853988.9883836
